factor,forward,ic_mean,ic_std,ic_ir,ic_pos_ratio,ic_t_stat,n_periods
KMID,1,-0.03177784139707987,0.45193845332566773,-0.07031453323618979,0.4709418837675351,-1.5707076935341584,499
KMID,5,0.03896103896103896,0.46314478394349684,0.08412280632699982,0.5474747474747474,1.8716142870376125,495
KMID,20,0.0180952380952381,0.46560807197116244,0.03886366921997614,0.5104166666666666,0.8514603319680055,480
KLEN,1,0.037389063841969654,0.46408327453976567,0.08056541981403796,0.5370741482965932,1.7996951541959205,499
KLEN,5,0.00779220779220779,0.4419582321171329,0.017631095488097184,0.5272727272727272,0.3922671110539965,495
KLEN,20,0.014404761904761905,0.45149733450902185,0.03190442291409379,0.5354166666666667,0.698990884569355,480
KUP,1,0.0,0.0,0.0,0.0,0.0,0
KUP,5,0.0,0.0,0.0,0.0,0.0,0
KUP,20,0.0,0.0,0.0,0.0,0.0,0
KLOW,1,0.0,0.0,0.0,0.0,0.0,0
KLOW,5,0.0,0.0,0.0,0.0,0.0,0
KLOW,20,0.0,0.0,0.0,0.0,0.0,0
OPEN0,1,0.03177784139707987,0.45193845332566773,0.07031453323618979,0.5290581162324649,1.5707076935341584,499
OPEN0,5,-0.03896103896103896,0.46314478394349684,-0.08412280632699982,0.45252525252525255,-1.8716142870376125,495
OPEN0,20,-0.0180952380952381,0.46560807197116244,-0.03886366921997614,0.4895833333333333,-0.8514603319680055,480
HIGH0,1,0.03578585742914401,0.45072260166143313,0.07939663397671164,0.533066132264529,1.7735864562882544,499
HIGH0,5,0.006868686868686875,0.43094847236866574,0.01593853397584592,0.503030303030303,0.354609994674574,495
HIGH0,20,-0.002738095238095245,0.44331070097700914,-0.006176469983830252,0.5166666666666667,-0.1353196774358959,480
LOW0,1,-0.00635556827941598,0.46372610012638094,-0.013705435768406984,0.48096192384769537,-0.3061562441489032,499
LOW0,5,-0.004790764790764786,0.44782486386698617,-0.010697853507722494,0.4868686868686869,-0.23801221499742778,495
LOW0,20,-0.012023809523809525,0.4625887069713442,-0.025992440677014537,0.47708333333333336,-0.5694658433366285,480
MA5,1,-0.0035785857429143945,0.43723865817096197,-0.008184513596954535,0.4789579158316633,-0.18282818477069693,499
MA5,5,0.03616161616161616,0.4530193146899353,0.0798235637841769,0.5373737373737374,1.7759621789123907,495
MA5,20,0.034940476190476195,0.4443696172376104,0.07862930955469229,0.5229166666666667,1.7226818609664583,480
MA10,1,0.0007443458345262032,0.4295478670518055,0.0017328588770211067,0.47695390781563124,0.03870913514853767,499
MA10,5,0.036075036075036086,0.4467937473906271,0.08074203429596355,0.5212121212121212,1.7963968577722529,495
MA10,20,0.022113095238095237,0.4490299799938365,0.0492463671098281,0.5104166666666666,1.0789338456493336,480
MA20,1,-0.006956770684225592,0.41810447703065967,-0.016638833273520413,0.46693386773547096,-0.3716833808220392,499
MA20,5,0.037922077922077926,0.4739595584950165,0.08001121032877463,0.5414141414141415,1.780137050972854,495
MA20,20,0.02497023809523809,0.45059076627304884,0.05541666621749331,0.525,1.214118325962223,480
MA60,1,0.007099914113942168,0.4534944529669645,0.015656010933521543,0.4909819639278557,0.34972879277652064,499
MA60,5,0.014949494949494943,0.4701930684867124,0.03179437544157973,0.509090909090909,0.7073801971439851,495
MA60,20,0.03889880952380951,0.4741065511267004,0.08204655563473574,0.5291666666666667,1.7975499714698941,480
STD5,1,-0.010964786716289726,0.4407752938058058,-0.02487613727533587,0.503006012024048,-0.5556908139108797,499
STD5,5,-0.031255411255411265,0.45384670891709716,-0.0688677710806549,0.4686868686868687,-1.53221117909401,495
STD5,20,-0.05845238095238095,0.45055647387850867,-0.12973375002074097,0.44375,-2.842324054243846,480
STD20,1,-0.04686515888920698,0.46092397903647614,-0.10167654758855194,0.45691382765531063,-2.271282026617128,499
STD20,5,-0.004415584415584414,0.4518635429461193,-0.009771942181471661,0.48484848484848486,-0.21741198846664928,495
STD20,20,-0.014196428571428575,0.43025565336279986,-0.03299533303158686,0.48125,-0.7228915277518176,480
VOL_MA5,1,0.03650157457772689,0.4444713767121469,0.08212356630867236,0.5230460921843687,1.8345015103521167,499
VOL_MA5,5,0.0172005772005772,0.4384679560980771,0.03922881241686394,0.5353535353535354,0.8727859778895177,495
VOL_MA5,20,0.026815476190476195,0.4305797204037452,0.06227761067179827,0.5145833333333333,1.3644340876987349,480
VOL_MA20,1,-0.003922129974234179,0.4348165119390131,-0.009020195568801887,0.48096192384769537,-0.20149590596738481,499
VOL_MA20,5,-0.006118326118326117,0.43725122365423846,-0.013992702106568042,0.48282828282828283,-0.3113179685793306,495
VOL_MA20,20,0.01714285714285714,0.43127035650958284,0.03974967647115859,0.5104166666666666,0.8708717782714362,480
ROC5,1,0.0016032064128256474,0.47208690078677273,0.0033959985124640576,0.5070140280561122,0.07586086041189086,499
ROC5,5,-0.032813852813852816,0.4721891902125766,-0.06949301994626397,0.46464646464646464,-1.5461220881675746,495
ROC5,20,-0.02461309523809524,0.469442058088147,-0.05243052856903087,0.4479166666666667,-1.1486953279670906,480
ROC10,1,0.011737761236759242,0.4229179251936339,0.027754229692168005,0.5070140280561122,0.6199825284933476,499
ROC10,5,-0.04118326118326118,0.47848324249886576,-0.08607043575482962,0.4585858585858586,-1.9149463062858956,495
ROC10,20,-0.024880952380952386,0.4418462851378453,-0.05631133092629744,0.48125,-1.2337194476588556,480
ROC20,1,0.010392212997423426,0.4354755296433739,0.023864057312092766,0.531062124248497,0.5330826600688015,499
ROC20,5,-0.007359307359307357,0.47455177491932987,-0.015507912409680445,0.503030303030303,-0.3450292696520525,495
ROC20,20,-0.011220238095238096,0.451786439747984,-0.0248352697382794,0.48541666666666666,-0.5441134982952419,480
ROC60,1,0.03283710277698254,0.49812389150205927,0.0659215575425713,0.5190380761523046,1.4725760498766882,499
ROC60,5,0.005137085137085139,0.4828009419344993,0.010640172151491116,0.501010101010101,0.23672888583697743,495
ROC60,20,-0.02761904761904762,0.5185370667998364,-0.05326340080083227,0.48541666666666666,-1.1669426443221826,480
VROC5,1,-0.04091039221299743,0.4416268947675257,-0.09263564492496056,0.48697394789579157,-2.069323559190544,499
VROC5,5,-0.010995670995670993,0.44270774241383304,-0.024837313519112777,0.498989898989899,-0.5525953408318945,495
VROC5,20,-0.014285714285714289,0.45549022779909104,-0.03136338260151538,0.5125,-0.6871372852206014,480
PV_CORR5,1,0.008817635270541087,0.4510839388099445,0.01954765956376963,0.501002004008016,0.4366616381319707,499
PV_CORR5,5,0.014430014430014428,0.4676977659986711,0.03085328919457663,0.509090909090909,0.6864423499402326,495
PV_CORR5,20,0.033898809523809526,0.4618136015911333,0.0734036620121506,0.5395833333333333,1.6081936595015973,480
ATR14,1,0.0,0.0,0.0,0.0,0.0,0
ATR14,5,0.0,0.0,0.0,0.0,0.0,0
ATR14,20,0.0,0.0,0.0,0.0,0.0,0
RSI14_RISE,1,0.0,0.0,0.0,0.0,0.0,0
RSI14_RISE,5,0.0,0.0,0.0,0.0,0.0,0
RSI14_RISE,20,0.0,0.0,0.0,0.0,0.0,0
