date,code,action,price,shares,amount,commission,tax,order_id,signal_date
2023-01-10,000003.SZ,buy,11.408396999999999,8300,94689.6951,23.672423775,0.0,O000001,2023-01-09
2023-01-10,000017.SZ,buy,9.944534599999999,9500,94473.07869999998,23.618269674999997,0.0,O000002,2023-01-09
2023-01-10,000020.SZ,buy,11.2099988,8400,94163.98991999999,23.540997479999998,0.0,O000003,2023-01-09
2023-01-10,000026.SZ,buy,10.999888899999998,8600,94599.04453999999,23.649761135,0.0,O000004,2023-01-09
2023-01-10,000034.SZ,buy,10.400590199999998,9100,94645.37081999998,23.661342704999996,0.0,O000005,2023-01-09
2023-01-10,000036.SZ,buy,9.856546699999999,9600,94622.84831999999,23.655712079999997,0.0,O000006,2023-01-09
2023-01-10,000038.SZ,buy,9.852742899999999,9600,94586.33183999998,23.646582959999996,0.0,O000007,2023-01-09
2023-01-10,000041.SZ,buy,11.525814299999999,8200,94511.67725999998,23.627919314999996,0.0,O000008,2023-01-09
2023-01-10,000046.SZ,buy,10.818207399999999,8700,94118.40437999999,23.529601095,0.0,O000009,2023-01-09
2023-01-10,000048.SZ,buy,10.4018915,9100,94657.21265,23.6643031625,0.0,O000010,2023-01-09
2023-01-11,000020.SZ,buy,11.408196799999999,400,4563.278719999999,5.0,0.0,O000011,2023-01-10
2023-01-11,000026.SZ,buy,10.985874899999999,400,4394.34996,5.0,0.0,O000012,2023-01-10
2023-01-11,000033.SZ,buy,10.980669699999998,400,4392.267879999999,5.0,0.0,O000013,2023-01-10
2023-01-11,000034.SZ,buy,10.5609504,400,4224.38016,5.0,0.0,O000014,2023-01-10
2023-01-11,000036.SZ,buy,9.588579,500,4794.2895,5.0,0.0,O000015,2023-01-10
2023-01-11,000038.SZ,buy,10.083273199999999,500,5041.6366,5.0,0.0,O000016,2023-01-10
2023-01-11,000041.SZ,buy,11.664552899999999,400,4665.8211599999995,5.0,0.0,O000017,2023-01-10
2023-01-11,000044.SZ,buy,10.298688399999998,500,5149.344199999999,5.0,0.0,O000018,2023-01-10
2023-01-11,000048.SZ,buy,10.2957855,500,5147.89275,5.0,0.0,O000019,2023-01-10
2023-01-11,000050.SZ,buy,10.0855755,500,5042.7877499999995,5.0,0.0,O000020,2023-01-10
2023-01-13,000034.SZ,sell,9.9516384,9500,94540.56480000001,23.635141200000003,94.54056480000001,O000021,2023-01-12
2023-01-16,000017.SZ,sell,9.387403200000001,9500,89180.3304,22.2950826,89.1803304,O000022,2023-01-13
2023-01-16,000003.SZ,buy,11.843631799999999,800,9474.905439999999,5.0,0.0,O000023,2023-01-13
2023-01-16,000004.SZ,buy,11.1071961,800,8885.756879999999,5.0,0.0,O000024,2023-01-13
2023-01-16,000012.SZ,buy,10.6757651,900,9608.18859,5.0,0.0,O000025,2023-01-13
2023-01-16,000027.SZ,buy,10.8223115,800,8657.8492,5.0,0.0,O000026,2023-01-13
